id_palabra,Palabra,id_cronista,id_texto,cita,pagina,lengua,fonética
548,Atabaliba,7,T7001,"“Después que de aquella tierra vino Isasaga, de quien vuestras mercedes se informarían de lo  hasta allí acaecido, el gobernador fundó en nombre de Su Majestad un pueblo cerca de la costa, que se llama San Miguel, veinticinco leguas de aquel cabo de <italic>Túmbez</italic>. Dejados allí los vecinos y partidos los indios que había en la comarca del pueblo, se partió con sesenta de caballo y noventa peones, que estaba en él <strong>Atabaliba</strong> hijo del <italic>Cuzco</italic> viejo y hermano del que al presente era señor de la tierra: y entre los dos hermanos había muy cruda guerra, y aquel <strong>Atabaliba</strong> le había venido ganando la guerra hasta allí que hay desde donde partió ciento cincuenta leguas.”",119-120,,
548,Atabaliba,7,T7002,"“Pasadas siete u ocho jornadas, vino al gobernador un <italic>capitán</italic> de <strong>Atabaliba</strong>, y díjole que su señor <strong>Atabaliba</strong> había sabido de su venida y holgaba mucho dello, y tenía deseo de conocer a los cristianos: y así como hubo estado dos días con el gobernador, dijo que quería adelantarse a decir a su señor cómo iba, y que el otro vernía al camino con presente en señal de paz.”",120,,
548,Atabaliba,7,T7003,"“El gobernador fue de camino adelante hasta llegar a un pueblo que se dice la <italic>Ramada</italic>, que hasta allí era todo tierra llana, y desde allí era sierra muy áspera y de muy malos pasos: y visto que no volvía el mensajero de <strong>Atabaliba</strong>, quiso informarse de algunos indios que habían venido a <italic>Caxamalca</italic>; y atormentáronse, y dijeron que habían oído que <strong>Atabaliba</strong> esperaba al gobernador en la sierra para darle guerra.”",120,,
548,Atabaliba,7,T7004,"“A la mitad del camino vinieron <italic>mensajeros</italic> de <strong>Atabaliba</strong>, y trajeron al gobernador comida, y dijeron que <strong>Atabaliba</strong> le esperaba en <italic>Caxamalca</italic>, que quería ser su amigo, y que le hacía saber que sus <italic>capitanes</italic> que había enviado a la del <italic>Cuzco</italic> su hermano, le traían preso y que serían en <italic>Caxamalca</italic> dende en dos días, y que toda la tierra de su padre estaba ya por él. El gobernador le envió decir que holgaba mucho de ello, y que si algún <italic>señor</italic> había que no le quería dar la obediencia, que él le ayudaría a sojuzgarle.”",121,,
548,Atabaliba,7,T7005,"“Desde a dos días llegó el gobernador a vista de <italic>Caxamalca</italic>, y halló indios con comida: y puesta la gente en orden, caminó al pueblo, y halló que <strong>Atabaliba</strong> no estaba en él, que estaba una legua de allí en el campo con toda su gente en toldos. Y visto que <strong>Atabaliba</strong> no venía a verle, envió un <italic>capitán</italic> con quince de caballo a hablar a <strong>Atabaliba</strong>, diciendo que no se aposentaba hasta saber donde era su voluntad que se aposentasen los cristianos, y que le rogaba que viniese, porque quería holgarse con él. En esto yo vine a hablar al gobernador, que había ido a mirar la manera del pueblo, para si de noche diesen en nosotros los indios, y díjome como había enviado a hablar a <strong>Atabaliba</strong>. Yo le dije que me parecía que en sesenta de caballo que tenía había algunas personas que no eran diestros a caballo, y otros caballos mancos, y que sacar quince de caballo de los mejores, que era yerro, porque si <strong>Atabaliba</strong> algo quisiese hacer, no eran para defenderse, y que acaeciéndoles algún revés, que les harían mucha falta.”",121,,
548,Atabaliba,7,T7006,"“Cuando yo llegué a este paso de <strong>Atabaliba</strong>, hallé los de caballo junto con el real, y el <italic>capitán</italic> había ido a hablar con <strong>Atabaliba</strong>. Yo dejé allí la gente que llevaba, y con dos caballos pasé al aposento; y el <italic>capitán</italic> le dijo cómo iba y quien era. Y yo dije al <strong>Atabaliba</strong> que el gobernador me enviaba a visitarle, y que le rogaba que le viniese a ver, porque le estaba esperando para holgarse con él, y que le tenía por amigo.”",121,,
548,Atabaliba,7,T7007,"“Entre los <italic>mensajeros</italic> que envió, vino aquel <italic>capitán</italic> que primero había venido al gobernador al camino, y dijo al gobernador que su <italic>señor</italic> <strong>Atabaliba</strong> decía pues los cristianos habían ido con armas a su real, que él quería venir con sus armas. El gobernador le dijo que viniese como él quisiese, y <strong>Atabaliba</strong> partió de su real a mediodía, y en llegar hasta un campo que estaba medio cuarto de legua de <italic>Caxamalca</italic> tardó hasta que el sol iba muy bajo.”",122,,
548,Atabaliba,7,T7008,"“Aquella noche se hizo buena guarda: a la mañana, envió sus <italic>mensajeros</italic>, dilatando la venida hasta que era ya tarde; y de aquellos <italic>mensajeros</italic> que venían hablando con algunas indias tenían los cristianos parientas suyas, y les dijeron que se huyesen, porque <strong>Atabaliba</strong> venía sobre tarde para dar aquella noche en los cristianos y matarlos.”",122,,
548,Atabaliba,7,T7009,"“El gobernador había mandado repartir la gente en los tres galpones que estaban en la plaza, en triángulo, y que estuviesen a caballo y armados hasta ver qué determinación traía <strong>Atabaliba</strong>. Asentados sus toldos, envió a decir al gobernador que ya era tarde, que él quería dormir allí, que por la mañana vernía: el gobernador le envió a decir que le rogaba que viniese luego, porque le esperaba a cenar, y que no había de cenar hasta que fuese.”",122,,
548,Atabaliba,7,T7010,"“El gobernador envió un cristiano, y luego <strong>Atabaliba</strong> se movió para venir, y dejó allí a la gente con las armas, y llevó consigo hasta cinco o seis mil indios sin armas, salvo que debajo de las camisetas traían unas porras pequeñas y hondas y bolsas con piedras. Venía en unas andas, y delante de él hasta trescientos o cuatrocientos indios con camisetas de librea, limpiando las pajas del camino y cantando; y él en medio de la otra gente, que eran <italic>caciques</italic> y <italic>principales</italic>, y los más principales <italic>caciques</italic> le traían en los hombros.”",123,,
548,Atabaliba,7,T7011,"“Entrando hasta la mitad de la plaza, reparó allí, y salió un fraile dominico, que estaba con el gobernador, a hablarle de su parte que el gobernador le esperaba en su aposento, que le fuese a hablar: y díjole como era sacerdote, y que era enviado por el Emperador para que les enseñase las cosas de la fe, si quisiesen ser cristianos, y díjole que aquel libro era de las cosas de Dios; y el <strong>Atabaliba</strong> le pidió el libro y arrojóle en el suelo, y dijo: “Yo no pasaré de aquí hasta que deis todo lo que habeis tomado en mi tierra; que yo bien sé quién sois vosotros y en lo que andais”. Y levantóse en las andas y habló a su gente, y hubo murmullo entre ellos, llamando a la gente que tenía las armas.”",123,,
